>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: car vehicle id: 38 position: 794 131
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 733 882
type: person vehicle id: 35 position: 526 548
type: person vehicle id: 34 position: 523 408
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 592 11
type: car vehicle id: 31 position: 573 78
type: person vehicle id: 30 position: 692 517
type: car vehicle id: 29 position: 689 67
type: person vehicle id: 28 position: 424 312
type: car vehicle id: 27 position: 787 223
type: person vehicle id: 26 position: 695 859
type: person vehicle id: 25 position: 386 321
type: person vehicle id: 24 position: 573 520
type: person vehicle id: 23 position: 289 305
type: person vehicle id: 22 position: 336 332
type: person vehicle id: 20 position: 1373 299
type: person vehicle id: 19 position: 121 516
type: car vehicle id: 18 position: 33 122
type: car vehicle id: 17 position: 1855 330
type: person vehicle id: 16 position: 155 465
type: car vehicle id: 15 position: 462 21
type: person vehicle id: 14 position: 1279 279
type: car vehicle id: 12 position: 1633 245
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 176 245
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 870 92
type: person vehicle id: 7 position: 428 240
type: person vehicle id: 6 position: 376 171
type: person vehicle id: 48 position: 1134 228
type: person vehicle id: 45 position: 1867 472
type: truck vehicle id: 43 position: 1850 617
type: person vehicle id: 42 position: 363 329
type: car vehicle id: 39 position: 1402 186
type: car vehicle id: 38 position: 795 134
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 733 881
type: person vehicle id: 35 position: 523 546
type: person vehicle id: 34 position: 524 408
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 593 11
type: car vehicle id: 31 position: 573 76
type: person vehicle id: 30 position: 695 521
type: car vehicle id: 29 position: 691 68
type: person vehicle id: 28 position: 424 312
type: car vehicle id: 27 position: 784 225
type: person vehicle id: 26 position: 695 858
type: person vehicle id: 25 position: 386 321
type: person vehicle id: 24 position: 571 519
type: person vehicle id: 23 position: 288 307
type: person vehicle id: 22 position: 336 332
type: person vehicle id: 20 position: 1377 301
type: person vehicle id: 19 position: 119 515
type: car vehicle id: 18 position: 34 122
type: car vehicle id: 17 position: 1856 329
type: person vehicle id: 16 position: 158 466
type: car vehicle id: 15 position: 462 22
type: person vehicle id: 14 position: 1280 280
type: car vehicle id: 12 position: 1632 245
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 177 244
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 870 91
type: person vehicle id: 7 position: 429 243
type: person vehicle id: 6 position: 375 172
type: person vehicle id: 48 position: 1134 228
type: person vehicle id: 45 position: 1868 473
type: truck vehicle id: 43 position: 1853 617
type: person vehicle id: 42 position: 363 328
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 796 134
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 733 881
type: person vehicle id: 35 position: 522 545
type: person vehicle id: 34 position: 524 408
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 593 11
type: car vehicle id: 31 position: 573 75
type: person vehicle id: 30 position: 695 523
type: car vehicle id: 29 position: 691 68
type: person vehicle id: 28 position: 423 312
type: car vehicle id: 27 position: 784 225
type: person vehicle id: 26 position: 695 858
type: person vehicle id: 25 position: 386 320
type: person vehicle id: 24 position: 571 519
type: person vehicle id: 23 position: 288 307
type: person vehicle id: 22 position: 336 332
type: person vehicle id: 20 position: 1378 301
type: person vehicle id: 19 position: 118 515
type: car vehicle id: 18 position: 34 122
type: car vehicle id: 17 position: 1856 329
type: person vehicle id: 16 position: 159 466
type: car vehicle id: 15 position: 462 22
type: person vehicle id: 14 position: 1280 280
type: car vehicle id: 12 position: 1631 244
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 177 244
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 870 90
type: person vehicle id: 7 position: 429 245
type: person vehicle id: 6 position: 375 173
type: person vehicle id: 3 position: 1351 288
type: person vehicle id: 49 position: 1309 272
type: person vehicle id: 48 position: 1137 229
type: person vehicle id: 45 position: 1872 474
type: car vehicle id: 43 position: 1860 623
type: person vehicle id: 42 position: 363 326
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 799 136
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 733 881
type: person vehicle id: 35 position: 517 542
type: person vehicle id: 34 position: 526 410
type: car vehicle id: 33 position: 935 180
type: car vehicle id: 32 position: 592 11
type: car vehicle id: 31 position: 573 72
type: person vehicle id: 30 position: 697 524
type: car vehicle id: 29 position: 691 70
type: person vehicle id: 28 position: 424 312
type: car vehicle id: 27 position: 781 227
type: person vehicle id: 26 position: 695 858
type: person vehicle id: 25 position: 386 319
type: person vehicle id: 24 position: 572 516
type: person vehicle id: 23 position: 287 309
type: person vehicle id: 22 position: 336 332
type: person vehicle id: 20 position: 1380 300
type: person vehicle id: 19 position: 114 514
type: car vehicle id: 18 position: 35 122
type: car vehicle id: 17 position: 1855 330
